time,id,callsign,lat,long,alt,heading,cas,tas,mach,vs,weight,fuel_consumed,bank_angle,trans_alt,accel,drag,esf,thrust,flight_phase,speed_mode,ap_speed_mode
189,1,FOLLOW,21.612460284242093,113.30289232172217,15851.785836024173,220.0,310.0,388.48237396339147,0.6226943056993436,-2687.48748829969,50932.12101848776,67.87898151227084,0.0,15976.891687975405,0.0,59398.91199317087,0.8357525918367092,12633.520804695787,7,1,2
190,0,HEAD,21.667419247429617,113.7210332169369,25606.610341996722,150.0,276.8375142894533,403.5350717363132,0.6719151601600988,3423.693559880028,50828.13543313055,171.86456686939286,0.0,25480.278395131616,0.0,48302.68849096332,1.063975411184022,87543.46028373802,5,2,1
190,1,FOLLOW,21.611083435542994,113.30173700848657,15807.018342063762,220.0,310.0,388.22723887239624,0.622177512650542,-2686.049637624694,50932.12088047511,67.87911952491818,0.0,15932.058599183934,0.0,59406.82351543095,0.8359561136988001,12647.10114508411,7,1,2
191,0,HEAD,21.66580170830939,113.7219671035834,25663.560084523175,150.0,276.505664527229,403.43903128245944,0.6719151601600988,3416.9845515872385,50827.08724763934,172.91275236059658,0.0,25537.475164050895,0.0,48210.06136866662,1.063975411184022,87382.4652213135,5,2,1
191,1,FOLLOW,21.60970749045133,113.30058245346764,15762.274807033342,220.0,310.0,387.97245051328076,0.621661530286802,-2684.612101825174,50932.12074239002,67.87925761000754,0.0,15887.24947933055,0.0,59414.717706875854,0.8361593187518503,12660.67249445341,7,1,2
192,0,HEAD,21.664184553588395,113.72290076829688,25720.397859693083,150.0,276.17467125885287,403.34315622663456,0.6719151601600988,3410.2665101944144,50826.041059285206,173.95894071473458,0.0,25594.560302867605,0.0,48117.8718867633,1.063975411184022,87221.76033802422,5,2,1
192,1,FOLLOW,21.608332447739276,113.2994286556351,15717.555225620146,220.0,310.0,387.71800836328646,0.6211463571095098,-2683.174884791773,50932.12060423253,67.87939576750014,0.0,15842.46432329782,0.0,59422.59460960064,0.8363622073647101,12674.23485716425,7,1,2
193,0,HEAD,21.662567782602,113.7238342114611,25777.123519997214,150.0,275.84453422493607,403.2474469403572,0.6719151601600988,3403.539618247878,50824.99686420528,175.00313579466228,0.0,25651.533657325068,0.0,48026.11858879831,1.063975411184022,87061.34620770889,5,2,1
193,1,FOLLOW,21.60695830618085,113.29827561396024,15672.859592446861,220.0,310.0,387.4639119000347,0.6206319916223604,-2681.737990397177,50932.12046600267,67.8795339973572,0.0,15797.70312590309,0.0,59430.454265611326,0.8365647799069788,12687.788237594554,7,1,2
194,0,HEAD,21.6609513946841,113.72476743346061,25833.736920954285,150.0,275.5152531474396,403.15190379016906,0.6719151601600988,3396.8040574242627,50823.954658531016,176.045341468923,0.0,25708.395076225832,0.0,47934.80001682682,1.063975411184022,86901.22339559135,5,2,1
194,1,FOLLOW,21.605585064551924,113.29712332741589,15628.187902071926,220.0,310.0,387.2101606015313,0.6201184323313627,-2680.30142249614,50932.12032770049,67.87967229953996,0.0,15752.965881898406,0.0,59438.29671682459,0.836767036748996,12701.332640139508,7,1,2
195,0,HEAD,21.659335389167147,113.72570043468085,25890.237921096417,150.0,275.1868277298302,403.05652713765267,0.6719151601600988,3390.060008527883,50822.914438388296,177.08556161164003,0.0,25765.1444114184,0.0,47843.91471149662,1.063975411184022,86741.39245831352,5,2,1
195,1,FOLLOW,21.604212721630223,113.29597179497644,15583.540148989832,220.0,310.0,386.95675394616705,0.6196056777448422,-2678.865184925581,50932.12018932602,67.87981067400968,0.0,15708.252585971039,0.0,59446.12200506868,0.8369689782618324,12714.868069211454,7,1,2
196,0,HEAD,21.657719765382154,113.72663321550802,25946.626381954553,150.0,274.8592576572376,402.96131733944827,0.6719151601600988,3383.3076514881072,50821.876199897524,178.12380010240943,0.0,25821.781517782027,0.0,47753.461212130656,1.063975411184022,86581.85394396842,5,2,1
196,1,FOLLOW,21.602841276195313,113.29482101561783,15538.916327631423,220.0,310.0,386.70369141272084,0.6190937263734388,-2677.4292815045687,50932.120050879304,67.87994912072757,0.0,15663.563232743945,0.0,59453.93017208278,0.8371706048172801,12728.394529239791,7,1,2
197,0,HEAD,21.656104522658733,113.72756577632919,26002.902168043835,150.0,274.53254259661503,402.8662747472712,0.6719151601600988,3376.5471653569293,50820.83993917374,179.16006082619302,0.0,25878.306253212944,0.0,47663.43805680785,1.063975411184022,86422.60839213365,5,2,1
197,1,FOLLOW,21.601470727028616,113.29367098831754,15494.316432364183,220.0,310.0,386.45097248036507,0.6185825767301085,-2675.9937160343443,50932.11991236038,67.88008763965493,0.0,15618.897816775705,0.0,59461.721259516744,0.8373719167878454,12741.912024670866,7,1,2
198,0,HEAD,21.6544896603251,113.72849811753221,26059.065146848945,150.0,274.20668219689014,402.77139970792905,0.6719151601600988,3369.7787283065213,50819.80565232672,180.1943476732122,0.0,25934.718478608575,0.0,47573.84378244397,1.063975411184022,86263.65633390463,5,2,1
198,1,FOLLOW,21.600101072913397,113.29252171205462,15449.740457492542,220.0,310.0,386.19859662866634,0.6180722273301286,-2674.5584922984413,50932.119773769286,67.88022623075302,0.0,15574.256332560693,0.0,59469.49530893209,0.8375729145467412,12755.420559967886,7,1,2
199,0,HEAD,21.6528751777081,113.72943023950573,26115.115188809395,150.0,273.88167608912477,402.6766925633395,0.6719151601600988,3363.002517626998,50818.77333546109,181.22666453884204,0.0,25991.018057854068,0.0,47484.6769248707,1.063975411184022,86104.99829192844,5,2,1
